epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.1,0.89301,5.26128,1.46926,0.43116,0.5787,0.45187,0.31192,0.93192,6.5344,1.80735,0.000475349,0.000475349,0.000475349
2,439.901,0.90947,3.80297,1.4636,0.40521,0.66808,0.52487,0.36063,0.93611,4.44299,1.67888,0.000942261,0.000942261,0.000942261
3,671.963,0.8768,2.8524,1.39644,0.37982,0.74092,0.54972,0.40108,0.8564,3.3242,1.65332,0.00139974,0.00139974,0.00139974
4,915.814,0.86314,2.28789,1.37028,0.44381,0.63986,0.40968,0.26045,0.93065,3.1087,1.6586,0.00138656,0.00138656,0.00138656
5,1183.28,0.80411,1.79395,1.31184,0.42849,0.85067,0.59826,0.42992,0.8579,2.1966,1.54614,0.00137241,0.00137241,0.00137241
6,1466.17,0.80161,1.64408,1.31094,0.48818,0.75227,0.6293,0.48099,0.7692,1.65073,1.43758,0.00135826,0.00135826,0.00135826
7,1746.52,0.75789,1.51298,1.26575,0.47169,0.80769,0.67197,0.51954,0.7976,1.54504,1.50077,0.00134412,0.00134412,0.00134412
8,2025.84,0.75404,1.4488,1.28759,0.47896,0.85576,0.68985,0.54788,0.6899,1.50139,1.34574,0.00132997,0.00132997,0.00132997
9,2293.22,0.70186,1.28232,1.23232,0.53853,0.83313,0.77096,0.64673,0.65237,1.24288,1.30729,0.00131582,0.00131582,0.00131582
10,2568.91,0.64043,1.1939,1.17524,0.531,0.75674,0.71979,0.60369,0.5682,1.20482,1.21697,0.00130168,0.00130168,0.00130168
11,2872.1,0.63385,1.13906,1.18391,0.65598,0.8397,0.78778,0.6509,0.62326,1.04466,1.25098,0.00128753,0.00128753,0.00128753
12,3163.17,0.63664,1.11374,1.1851,0.72401,0.79645,0.8365,0.70341,0.63352,1.0361,1.25791,0.00127338,0.00127338,0.00127338
