epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1333.84,1.17969,2.74102,1.61341,0.51687,0.38384,0.27388,0.12979,1.79486,3.16674,2.52142,0.000475349,0.000475349,0.000475349
2,2763.02,1.47449,2.12742,1.83363,0.17474,0.68566,0.28828,0.15059,1.64452,2.48517,2.28089,0.000942261,0.000942261,0.000942261
3,4414.17,1.39442,1.82409,1.76521,0.00625,0.30222,0.00443,0.00151,2.63283,16.0537,3.00642,0.00139974,0.00139974,0.00139974
4,6083.89,1.24577,1.66658,1.61639,0.28767,0.79515,0.38419,0.22784,1.25839,2.00862,1.82072,0.00138656,0.00138656,0.00138656
5,7670.08,1.00094,1.49472,1.42845,0.34678,0.71565,0.41822,0.2668,1.24711,1.72811,1.98984,0.00137241,0.00137241,0.00137241
6,9282.74,1.08614,1.55238,1.51096,0.34232,0.60465,0.42197,0.29235,1.09609,1.764,1.73149,0.00135826,0.00135826,0.00135826
7,10805.2,1.0042,1.53978,1.45065,0.33326,0.76101,0.43833,0.32804,0.83865,1.64797,1.5089,0.00134412,0.00134412,0.00134412
8,12375.4,0.91691,1.42737,1.35993,0.29566,0.86394,0.41433,0.31165,0.83328,1.91021,1.51754,0.00132997,0.00132997,0.00132997
9,14119.5,0.86849,1.37555,1.33198,0.33895,0.82384,0.4604,0.36008,0.81981,1.56082,1.47335,0.00131582,0.00131582,0.00131582
10,15768.5,0.80892,1.33297,1.29238,0.35726,0.6994,0.43462,0.33649,0.80808,2.01545,1.48453,0.00130168,0.00130168,0.00130168
11,17440.6,0.80837,1.38329,1.30806,0.33691,0.72151,0.44918,0.341,0.87079,1.4849,1.49648,0.00128753,0.00128753,0.00128753
12,19170.1,0.78748,1.31121,1.29248,0.35305,0.58306,0.35828,0.25487,1.22223,1.69007,1.82586,0.00127338,0.00127338,0.00127338
13,21043.9,0.73047,1.33349,1.24708,0.39045,0.78029,0.49674,0.40045,0.71768,1.31999,1.34968,0.00125923,0.00125923,0.00125923
14,22849.1,0.7205,1.31079,1.22427,0.36154,0.90505,0.52149,0.43024,0.69271,1.26345,1.40296,0.00124509,0.00124509,0.00124509
15,24594.2,0.70305,1.27356,1.22384,0.34061,0.88129,0.47927,0.3951,0.66441,1.28309,1.32305,0.00123094,0.00123094,0.00123094
16,26330.1,0.69113,1.26998,1.20928,0.39598,0.85737,0.51297,0.42369,0.6586,1.22615,1.28355,0.00121679,0.00121679,0.00121679
17,28159.8,0.69721,1.2269,1.22017,0.35631,0.89155,0.50754,0.41388,0.66872,1.28214,1.32999,0.00120265,0.00120265,0.00120265
18,29930.3,0.65031,1.23329,1.16039,0.3912,0.82263,0.51801,0.43308,0.64671,1.16834,1.29636,0.0011885,0.0011885,0.0011885
19,1190.68,0.7582,1.23134,1.26794,0.41286,0.84949,0.58578,0.48512,0.56913,1.20445,1.23126,0.00117435,0.00117435,0.00117435
20,2557.31,0.66369,1.20066,1.20524,0.48893,0.74424,0.64241,0.5294,0.60304,1.15138,1.2913,0.00116021,0.00116021,0.00116021
21,3848.39,0.63485,1.14086,1.17773,0.4269,0.91084,0.63179,0.53266,0.60815,1.06281,1.24823,0.00114606,0.00114606,0.00114606
22,5108.63,0.64331,1.16464,1.16542,0.44761,0.781,0.63915,0.5269,0.64255,1.10536,1.34176,0.00113191,0.00113191,0.00113191
23,6395.64,0.58302,1.09566,1.11626,0.52938,0.80982,0.64542,0.54059,0.58764,0.99803,1.26638,0.00111776,0.00111776,0.00111776
24,7694.22,0.57505,1.07773,1.13456,0.46742,0.85738,0.67416,0.54983,0.63168,1.07561,1.30139,0.00110362,0.00110362,0.00110362
25,8989.49,0.58478,1.13408,1.13365,0.57968,0.77601,0.69181,0.57115,0.57708,1.03677,1.25463,0.00108947,0.00108947,0.00108947
26,10305.3,0.59672,1.09401,1.14685,0.43561,0.82899,0.68429,0.56931,0.58029,1.09385,1.18256,0.00107532,0.00107532,0.00107532
27,11699.8,0.58462,1.0654,1.13848,0.48435,0.83232,0.66203,0.58055,0.51502,1.03275,1.15965,0.00106118,0.00106118,0.00106118
28,42540.5,0.54438,1.03568,1.11419,0.52524,0.77737,0.6404,0.55329,0.53532,0.99641,1.20118,0.00104703,0.00104703,0.00104703
29,43913.3,0.54532,1.05764,1.12094,0.56425,0.71798,0.67205,0.58049,0.52992,0.95589,1.19907,0.00103288,0.00103288,0.00103288
30,45272.1,0.54673,1.00745,1.11773,0.57977,0.78378,0.70741,0.61492,0.52623,0.93687,1.14537,0.00101873,0.00101873,0.00101873
31,46646.8,0.54399,1.03849,1.1064,0.71,0.78322,0.80342,0.68878,0.53412,0.90145,1.16844,0.00100459,0.00100459,0.00100459
32,48139.8,0.56074,1.013,1.1215,0.50299,0.82886,0.70899,0.59483,0.55077,0.99393,1.21054,0.00099044,0.00099044,0.00099044
33,49639.9,0.5377,1.03914,1.11563,0.64948,0.8098,0.79208,0.66922,0.52639,0.90722,1.17402,0.000976293,0.000976293,0.000976293
34,51203,0.53469,1.00543,1.11339,0.56088,0.83992,0.76878,0.65793,0.50196,0.8912,1.13823,0.000962146,0.000962146,0.000962146
35,52732.2,0.53223,0.96803,1.10417,0.56993,0.82303,0.75749,0.64255,0.51287,0.91842,1.12947,0.000947999,0.000947999,0.000947999
36,54378.3,0.50526,0.99012,1.0681,0.6566,0.82343,0.79266,0.68906,0.51442,0.8989,1.13229,0.000933851,0.000933851,0.000933851
37,56024.1,0.5343,0.97059,1.09158,0.57496,0.90808,0.81633,0.70665,0.5348,1.23134,1.17178,0.000919704,0.000919704,0.000919704
38,57655.5,0.538,0.96134,1.10798,0.71244,0.8078,0.86235,0.7558,0.48325,0.83266,1.13101,0.000905557,0.000905557,0.000905557
39,59327.4,0.50676,0.95176,1.08435,0.68861,0.80667,0.80723,0.73529,0.41567,0.84672,1.04768,0.00089141,0.00089141,0.00089141
40,61149.7,0.51267,0.9477,1.07805,0.694,0.8237,0.83881,0.71755,0.4583,0.81766,1.07696,0.000877263,0.000877263,0.000877263
